_sort,id,published,name,pre_headline,title,lead_text,embedded_html_base_name,language_code,urlname,slug,link,_request,_article_bib_key,how_to_cite,pure_html_asset,pure_pdf_asset,doi,created_at,page_layout,tag_page_type,tag_media,tag_content_type,tag_language,tag_institution,tag_canton,tag_project,tag_public,tag_references,tag_footnotes,ref_bib_keys,references_asset_url,_further_refs,further_references_asset_url,_depends_on,_to_do_on_the_portal,assigned_authors,intro_image_asset,intro_image_portal,audio_assets,audios_portal,video_assets,videos_portal,pdf_assets,pdfs_portal,picture_assets,pictures_portal,text_and_picture_assets,text_and_pictures_portal,box_assets,_attachment_links_assets,attachment_links_portal,has_html_header_tags,links_in_text_or_embed_blocks,themetags_discipline,themetags_focus,themetags_structural,status,changes_made,error_message,error_trace,,
23,2,,Willkommen,,Startseite,,,de,willkommen,/de/willkommen,https://www.philosophie.ch/de/willkommen,GET,,,,,,2016-10-05,index,service page,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3466,3,,Ausbildung,<p>auch wenn man Philosophie nicht lernen können sollte... </p>,Ausbildung,<p>Gönnen Sie sich ein Philosophiestudium.</p>,,de,ausbildung,/de/ausbildung,https://www.philosophie.ch/de/ausbildung,GET,,,,,,2016-10-05,topic,portal page,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,"our-pic-learning-philosophy.jpeg, our-pic-studies.jpeg, our-pic-teaching.svg, philo-ch-warum-pourquoi-perche.png, our-pic-reasons-for-philosophy.jpeg, our-pic-where-philosophy.svg, our-pic-highschool-philosophy.svg, our-pic-online-courses.jpg, our-pic-student-papers.svg, philo-ch-messageboard.svg, our-pic-stimmen.svg, our-pic-competitions.svg, our-pic-BA-programs-de.png, our-pic-MA-programs-de.png, our-pic-lehrdiplom.svg, our-pic-phd-students.png, our-pic-further-university-offers.png, our-pic-workshops.png, our-pic-testimonials.jpeg, our-pic-career-prospects.jpeg, our-pic-going-abroad.svg",,,,,,,,,,,,,
2964,5,,Beiträge,<p>auf unserem Portal erwartet Sie eine grosse Menge Lesestoff</p>,Entdecken Sie unsere Inhalte!,,,de,beitraege,/de/beitraege,https://www.philosophie.ch/de/beitraege,GET,,,,,,2016-10-19,topic,portal page,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,"our-pic-focus-areas.jpeg, our-pic-philo-intro.jpeg, our-pic-disciplines.svg, our-pic-dossier.png, our-pic-book-reviews.png, our-pic-article-series.png, our-pic-grosse-fragen.svg, kralle.png, our-pic-philosophie-aktuell.png, discipline-meta-philosophie.svg, our-pic-podcasts.png, our-pic-videos.jpg, our-pic-humour.jpg, our-pic-blogs.png, our-pic-electronic-resources.png, our-pic-student-papers.svg, our-pic-press-review.png, our-pic-book-notices.svg",,,,,,,,,,,,,
2737,6,,TD Zukunft,,Themendossier Zukunft,<p>Verläuft Zeit tatsächlich linear und auf eine einzige mögliche Zukunft zu? Welche Rolle spielen Utopien und Prognosen für den Menschen? Wie entwickelt sich der Mensch mit dem technologischen Fortschritt? Was bedeutet Zukunfts​ethik? Welche Zukunft hat die Philosophie selbst?</p>,,en-UK,2016-09-01-leser,/2016-09-01-leser,https://www.philosophie.ch/2016-09-01-leser,GET,,,,,,2016-10-19,article,media article,pdf,,German,,,,,references?: yes,footnotes?: yes,,,,,,,leser-a,2016-09-01-leser.jpg,titelseite_TD22.jpg,,,,,TD22.pdf,,,,,,,TD22.pdf,TD22.pdf,,,"Erkenntnistheorie, Metaphysik",,,,tag_page_type: {{  }} => {{ media article }} ;;; tag_media: {{  }} => {{ pdf }} ;;; tag_language: {{  }} => {{ German }} ;;; tag_references: {{  }} => {{ references?: yes }} ;;; tag_footnotes: {{  }} => {{ footnotes?: yes }} ;;; intro_image_portal: {{  }} => {{ titelseite_TD22.jpg }} ;;; _attachment_links_assets: {{  }} => {{ TD22.pdf }},,,,
2711,8,,Themendossiers,,Themendossiers,<p>Übersicht über einige unserer eigenen Publikationen</p>,,de,themendossiers,/de/themendossiers,https://www.philosophie.ch/de/themendossiers,GET,,,,,,2016-10-19,standard,portal page,,,German,,,,,,,,,,,,,,our-pic-dossier.png,dossier.png,,,,,,,,,"TD25.jpg, TD24.jpg, TD23.png, TD22.jpg, TD21.jpg, TD20.jpg, TD19.jpg, TD18.jpg, TD17.jpg, TD16.jpg, TD15.jpg, TD14.jpg, TD13.jpg, TD12.jpg, TD11.jpg, TD10.png, TD9.jpg, TD8.png, TD7.png, TD6.png, TD5.png, TD4.jpg, TD3.jpg, TD2.jpg, TD1.jpg, TD-fr2.jpg, TD-fr3.jpg, TD-fr4.jpg, TD-fr1.jpg","Titelblatt_TD25_web.jpg, Titelseite_TD24.jpg, Titelblatt_TD23web.png, titelseite_TD22.jpg, Titelseite_TD21.jpg, TD20_VV.jpg, Titelseite_TD19.jpg, TD18_Titelseite.jpg, Titelseite_TD17.jpg, TD16_Titelbildweb.jpg, TitelseiteTD15.jpg, TD14_titelseite.jpg, TD13_Titelseite.jpg, TitelseiteTD12.jpg, TD11titelbild.jpg, TitelbildTD10web.png, TD9_titelbild.jpg, Titelseitetd8web.png, Titelseitetd7web.png, TitelseiteTD6web.png, Titelbilddossier5web.png, titelseiteTD4.jpg, Titelbildthemendossier3.jpg, titelbildtd2.jpg, ahv2012.jpg, Screen Shot 2015-07-15 at 12.19.26.jpg, Titelseite_Dossier_PMA_web.jpg, Screen Shot 2016-01-29 at 14.45.03.jpg, Atlas.jpg",,"JB-2021.pdf,JB-2020.pdf,JB-2019.pdf,JB-2018.pdf,TD25.pdf,TD24.pdf,TD23.pdf,TD25.pdf,TD24.pdf,TD23.pdf,TD22.pdf,TD21.pdf,TD20.pdf,TD19.pdf,TD18.pdf,TD17.pdf,TD16.pdf,TD15.pdf,TD14.pdf,TD13.pdf,TD12.pdf,TD11.pdf,TD10.pdf,TD9.pdf,TD9-fr.pdf,TD8.pdf,TD7.pdf,TD6.pdf,TD5.pdf,TD4.pdf,TD3.pdf,TD2.pdf,TD1.pdf,TD-fr4.pdf,TD-fr3.pdf,TD-fr2.pdf,TD-fr1.pdf",,,,,,,,"_attachment_links_assets: {{  }} => {{ JB-2021.pdf,JB-2020.pdf,JB-2019.pdf,JB-2018.pdf,TD25.pdf,TD24.pdf,TD23.pdf,TD25.pdf,TD24.pdf,TD23.pdf,TD22.pdf,TD21.pdf,TD20.pdf,TD19.pdf,TD18.pdf,TD17.pdf,TD16.pdf,TD15.pdf,TD14.pdf,TD13.pdf,TD12.pdf,TD11.pdf,TD10.pdf,TD9.pdf,TD9-fr.pdf,TD8.pdf,TD7.pdf,TD6.pdf,TD5.pdf,TD4.pdf,TD3.pdf,TD2.pdf,TD1.pdf,TD-fr4.pdf,TD-fr3.pdf,TD-fr2.pdf,TD-fr1.pdf }}",,,,
2979,9,,Artikelserie Grosse Fragen,,Grosse Fragen,"<p>Wie finden wir Antworten auf die grossen Fragen, die uns so oft im Alltag begegnen? </p> <p> </p>",,en-UK,grosse-fragen,/grosse-fragen,https://www.philosophie.ch/grosse-fragen,GET,,,,,,2016-10-19,standard,portal page,,,German,,,,,,,,,,,,,,our-pic-grosse-fragen.svg,vek fragen.svg,,,,,,,,,"2013-03-11-ferber.jpg, 2013-03-13-henning.jpg, 2013-03-18-blum.jpg, 2013-03-12-leist.jpg, 2013-03-15-mona.jpg, 2013-03-25-konzelmannziv.jpg, 2013-03-19-pfister.jpg, 2013-03-22-hohl.jpg, 2013-03-21-wolf.jpg, 2013-03-20-sauer.jpg, 2013-03-23-schmetkamp.jpg, 2013-03-07-beisbart.jpg, 2013-03-26-schniewind.jpg, 2013-03-14-leser.jpg","6. matthew-henry-kX9lb7LUDWc-unsplash.jpg, 6. anders-jilden-O85h02qZ24w-unsplash.jpg, wasistwahrheit.jpg, michael-daniels-yHh07IGJAJM-unsplash.jpg, wilhelm-gunkel-37tY-m2ZA-Q-unsplash.jpg, aaron-burden-gfGM2Hcq92s-unsplash.jpg, jr-korpa-XnwDrHFGx_8-unsplash.jpg, james-lee-9HaKvjeQHvs-unsplash.jpg, smoke-600079_1920.jpg, gossip-1385797_1920.jpg, audience-828584_1920.jpg, books-1655783_1920.jpg, ahmad-odeh-ckm1yAe6jhU-unsplash.jpg, element5-digital-MEzqoN8p6C0-unsplash.jpg",,,,,,,,,,"lead_text: {{ <p>Wie finden wir Antworten auf die grossen Fragen, die uns so oft im Alltag begegnen? </p> <p> </p> }} => {{ <p>Wie finden wir Antworten auf die grossen Fragen, die uns so oft im Alltag begegnen? </p> <p> </p> }} ;;; tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ vek fragen.svg }} ;;; text_and_pictures_portal: {{  }} => {{ 6. matthew-henry-kX9lb7LUDWc-unsplash.jpg, 6. anders-jilden-O85h02qZ24w-unsplash.jpg, wasistwahrheit.jpg, michael-daniels-yHh07IGJAJM-unsplash.jpg, wilhelm-gunkel-37tY-m2ZA-Q-unsplash.jpg, aaron-burden-gfGM2Hcq92s-unsplash.jpg, jr-korpa-XnwDrHFGx_8-unsplash.jpg, james-lee-9HaKvjeQHvs-unsplash.jpg, smoke-600079_1920.jpg, gossip-1385797_1920.jpg, audience-828584_1920.jpg, books-1655783_1920.jpg, ahmad-odeh-ckm1yAe6jhU-unsplash.jpg, element5-digital-MEzqoN8p6C0-unsplash.jpg }}",,,,
3018,10,,Themenbereiche (Disziplinen),,Themenbereiche,,,de,themenbereiche,/de/themenbereiche,https://www.philosophie.ch/de/themenbereiche,GET,,,,,,2016-10-19,topic,portal page,,,German,,,,,,,,,,,,,,our-pic-disciplines.svg,vek Disziplinen de.svg,,,,,,,,,,,"discipline-logica-conoscenza-scienza.jpg, discipline-menschsein-und-sprache.svg, discipline-ethik-gesellschaft-kultur.svg, discipline-geschichte-der-philosophie.svg, discipline-theoretische-philosophie.svg, discipline-praktische-philosophie.svg, discipline-angewandte-ethik.svg, discipline-theoretische-ethik.svg, discipline-philosophie-der-sozialwissenschaften.svg, discipline-rechtsphilosophie.jpg, discipline-religionsphilosophie.svg, discipline-politische-philosophie.svg, discipline-philosophie-des-sozialen.svg, discipline-anthropologie.png, discipline-antike-philosophie.jpg, discipline-philosophie-des-mittelalters.svg, discipline-philosophie-der-moderne.svg, discipline-ideengeschichte.svg, discipline-idealismus.jpg, discipline-aesthetik.svg, discipline-hermeneutique.svg, discipline-philosophie-des-geistes.svg, discipline-phaenomenologie.svg, discipline-sprachphilosophie.svg, discipline-philosophie-der-geschichte.svg, discipline-metaphysik.jpg, discipline-erkenntnistheorie.jpg, discipline-philosophie-sciences.jpg, discipline-logique.jpg, discipline-kritische-theorie.svg, discipline-kulturtheorie.svg, discipline-philosophie-der-paedagogik.svg, discipline-philosophie-der-psychologie.svg",,,,,,,,,intro_image_portal: {{  }} => {{ vek Disziplinen de.svg }},,,33,
857,11,,Electronic Resources,,Electronic Resources,<p>Here you'll find links to the philosophical treasure troves of the Internet.</p>,,en-UK,electronic-resources,/electronic-resources,https://www.philosophie.ch/electronic-resources,GET,,,,,,2016-10-19,topic,portal page,,,English,,,,,,,,,,,,,,our-pic-electronic-resources.png,system-2457624_1920.jpg,,,,,,,,,,,,,,yes,,,,,,tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ English }} ;;; intro_image_portal: {{  }} => {{ system-2457624_1920.jpg }},,,,
3478,15,,Studium,,Studium,"<p>Die Berufe der etwa 3‘000 Personen, die seit 1980 in der Schweiz ein Philosophiestudium abgeschlossen haben, sind äusserst vielfältig.</p>",,de,studium,/de/studium,https://www.philosophie.ch/de/studium,GET,,,,,,2016-10-19,topic,portal page,,,German,,,,,,,,,,,,,,our-pic-studies.jpeg,Studium_bild.jpeg,,,,,,,,,,,"philo-ch-warum-pourquoi-perche.png, our-pic-reasons-for-philosophy.jpeg, our-pic-where-philosophy.svg, our-pic-BA-programs-de.png, our-pic-MA-programs-de.png, our-pic-phd-students.png, philo-ch-messageboard.svg, our-pic-stimmen.svg, our-pic-mentorat.svg, our-pic-student-papers.svg, our-pic-further-university-offers-2.svg, our-pic-going-abroad.svg",,"ext_verbleibstudie_2006.pdf, ext_berufsmöglichkeiten.pdf",,,,,,,intro_image_portal: {{  }} => {{ Studium_bild.jpeg }},,,12,
3492,16,,Universitäre Weiterbildung,,Weiterbildung,<p>Hier finden Sie Angebote zur universitären Weiterbildung im Bereich Philosophie.</p>,,de,weiterbildung,/de/weiterbildung,https://www.philosophie.ch/de/weiterbildung,GET,,,,,,2016-10-19,topic,portal page,,,German,,,,,,,,,,,,PB check,,our-pic-further-university-offers.png,universitäre weiterbildung vekto.svg,,,,,,,,,,,,,,yes,,,,,,tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ universitäre weiterbildung vekto.svg }},,,,
